,County,State,Price,Population
1591,Roscommon County,MI,173833,23708
1592,Antrim County,MI,316208,24249
1593,Fayette County,IN,136037,23349
1594,Grainger County,TN,240715,24277
1595,Anderson County,KY,216853,24224
1596,Clarke County,AL,133249,22515
1597,Teton County,WY,2693143,23287
1598,Saline County,MO,150515,23007
1599,Starke County,IN,191259,23258
1600,Meeker County,MN,262561,23496
1601,McDonald County,MO,181306,23588
1602,Franklin County,GA,261667,24128
1603,Curry County,OR,464955,23598
1604,Hampshire County,WV,231730,23468
1605,Yankton County,SD,249867,23373
1606,Poinsett County,AR,109624,22495
1607,Tattnall County,GA,169735,24064
1608,Crawford County,MO,198839,22659
1609,Allen Parish,LA,107852,22320
1610,Ray County,MO,232614,23107
1611,Pacific County,WA,339638,24113
1612,Columbia County,AR,126318,22216
1613,Osceola County,MI,166765,23274
1614,Ouachita County,AR,90554,22049
1615,Vilas County,WI,389566,23763
1616,Johnson County,KY,119496,22244
1617,Caswell County,NC,181703,22614
1618,Franklin County,IN,270810,23028
1619,Emanuel County,GA,110609,22929
1620,Rockbridge County,VA,285640,22593
1621,Sumner County,KS,126205,22473
1622,Panola County,TX,182573,22677
1623,Washington County,IA,208294,22571
1624,New Kent County,VA,388885,24986
1625,Lee County,VA,90885,21982
1626,Klickitat County,WA,464299,23271
1627,Mercer County,KY,198629,22902
1628,Bibb County,AL,184937,22005
1629,Anson County,NC,109736,22202
1630,Brooke County,WV,120326,21733
1631,Sabine Parish,LA,175699,21985
1632,Overton County,TN,224997,23044
1633,Meigs County,OH,103044,21969
1634,Beckham County,OK,132531,22009
1635,Martin County,NC,112071,21508
1636,Houston County,TX,166282,21950
1637,Asotin County,WA,305333,22508
1638,Limestone County,TX,159128,22253
1639,Leelanau County,MI,594577,22870
1640,Grant Parish,LA,156148,22000
1641,Seward County,KS,135452,21358
1642,Nobles County,MN,201480,21947
1643,Mahaska County,IA,169771,21946
1644,Boone County,WV,88201,20968
1645,Hertford County,NC,107039,20875
1646,Saunders County,NE,322316,23118
1647,Randolph County,AL,187024,22479
1648,Mitchell County,GA,129259,21116
1649,Wyandot County,OH,176815,21567
1650,Jo Daviess County,IL,225662,21758
1651,Prince Edward County,VA,217348,21927
1652,Henry County,MO,185711,22438
1653,Tippah County,MS,130961,21431
1654,Putnam County,GA,395567,22984
1655,Scott County,TN,161719,22035
1656,Coahoma County,MS,49938,20197
1657,Letcher County,KY,65856,20893
1658,Colusa County,CA,359687,21914
1659,Logan County,CO,245926,20823
1660,Taylor County,FL,192817,21283
1661,McDuffie County,GA,168777,21713
1662,Gage County,NE,170347,21583
1663,Stutsman County,ND,196116,21487
1664,Hockley County,TX,150290,21161
1665,Grenada County,MS,120268,21088
1666,Wyoming County,WV,49990,20527
1667,Scott County,VA,160390,21476
1668,Nodaway County,MO,203206,20670
1669,Clark County,AR,138940,21250
1670,Jersey County,IL,173422,21246
1671,Fayette County,IL,129005,21305
1672,Moore County,TX,164891,20996
1673,Sevier County,UT,306949,22069
1674,Leake County,MS,137017,21135
1675,Texas County,OK,147414,20495
1676,Lampasas County,TX,291579,22785
1677,Wabasha County,MN,279513,21658
1678,Gray County,TX,82066,21015
1679,Minidoka County,ID,299587,22194
1680,Newton County,MS,138340,21029
1681,Logan County,AR,144298,21253
1682,Dakota County,NE,210765,21042
1683,Owen County,IN,215233,21482
1684,Union Parish,LA,143017,20721
1685,Madison County,NC,361411,21768
1686,Llano County,TX,484389,22540
1687,Hubbard County,MN,309893,21960
1688,Fairfield County,SC,134179,20455
1689,Fillmore County,MN,266474,21414
1690,Gaines County,TX,190919,22181
1691,Shelby County,IL,139137,20761
1692,Perry County,IL,87187,20588
1693,Morgan County,TN,193239,21224
1694,Assumption Parish,LA,173879,20604
1695,Clinton County,MO,251341,21328
1696,Jackson County,WI,189576,20836
1697,Pointe Coupee Parish,LA,191861,20151
1698,Morgan County,MO,262730,21785
1699,Bandera County,TX,351475,22115
1700,Worth County,GA,142481,20424
1701,Sullivan County,IN,138290,20670
1702,Hutchinson County,TX,94125,20215
1703,Barnwell County,SC,129884,20414
1704,Dodge County,MN,296941,20981
1705,Carroll County,IA,186614,20567
1706,Ogemaw County,MI,148094,20970
1707,Buena Vista County,IA,181355,20600
1708,Washington County,NE,362644,21167
1709,Conway County,AR,152817,21046
1710,Jones County,IA,211937,20848
1711,Meriwether County,GA,174273,20845
1712,Lincoln County,WV,109311,19901
1713,Buchanan County,VA,78429,19352
1714,Allen County,KY,167700,21275
1715,Buchanan County,IA,195775,20714
1716,Woodward County,OK,124694,19990
1717,Jay County,IN,138659,20198
1718,Colorado County,TX,237352,20754
1719,Kewaunee County,WI,267007,20623
1720,Yell County,AR,142648,20129
1721,Crisp County,GA,124810,19708
1722,Greene County,NC,164601,20211
1723,Uinta County,WY,303298,20712
1724,Henry County,IA,173068,20196
1725,Clay County,KY,96524,19913
1726,Adams County,WI,205366,21226
1727,Willacy County,TX,95208,20143
1728,Fulton County,IN,175207,20327
1729,Greene County,VA,337593,21107
1730,Calhoun County,TX,186184,19706
1731,Adams County,WA,291627,20961
1732,Hempstead County,AR,105736,19453
1733,Breckinridge County,KY,138872,20943
1734,Carroll County,IN,206188,20555
1735,Lavaca County,TX,276757,20589
1736,Bourbon County,KY,218558,20093
1737,Dukes County,MA,1488375,20868
1738,Labette County,KS,82321,19757
1739,Carbon County,UT,246935,20571
1740,Monroe County,AL,128050,19404
1741,Richland Parish,LA,146835,19826
1742,Winneshiek County,IA,279406,19974
1743,Dodge County,GA,127594,19802
1744,Lincoln County,NM,340686,20411
1745,Martin County,MN,162735,19650
1746,Washington County,GA,119222,19738
1747,Tyler County,TX,152112,20030
1748,Franklin Parish,LA,119991,19308
1749,Taylor County,WI,197903,19975
1750,Spencer County,IN,212602,19967
1751,Davison County,SD,232671,19973
1752,Montague County,TX,214286,21063
1753,Adair County,OK,146963,19576
1754,Vernon County,MO,144674,19651
1755,Wayne County,MS,135686,19681
1756,Smith County,TN,287203,20489
1757,Orange County,IN,167191,19623
1758,Wayne County,KY,144091,19681
1759,Jones County,TX,125326,19935
1760,Gonzales County,TX,197280,19832
1761,Douglas County,IL,133811,19755
1762,Morgan County,GA,408750,21031
1763,Lincoln County,MT,421012,21525
1764,Duchesne County,UT,322275,20161
1765,Pierce County,GA,166435,20168
1766,Plumas County,CA,377732,19351
1767,Holmes County,FL,178470,19651
1768,Union County,TN,271228,20452
1769,East Feliciana Parish,LA,206514,19135
1770,Fayette County,IA,139088,19294
1771,Marion County,KY,186502,19775
1772,Cherokee County,KS,103156,19088
1773,Jackson County,IA,210717,19324
1774,Macon County,AL,89888,18516
1775,Freestone County,TX,213657,19950
1776,Polk County,AR,164138,19337
1777,Langlade County,WI,181839,19559
1778,Lincoln County,WY,499698,20660
1779,Elbert County,GA,153015,19814
1780,Chaffee County,CO,652911,20223
1781,Polk County,NC,372073,19986
1782,Marengo County,AL,138735,18745
1783,Ashley County,AR,79920,18354
1784,Benton County,MO,166455,20224
1785,Kent County,MD,337133,19320
1786,McDowell County,WV,29595,17850
1787,Simpson County,KY,230642,19949
1788,Spencer County,KY,332392,20204
1789,Pickens County,AL,123805,18697
1790,Hampton County,SC,141080,18113
1791,Roosevelt County,NM,140192,18934
1792,Hart County,KY,146914,19600
1793,Butler County,AL,107838,18650
1794,Los Alamos County,NM,546439,19187
1795,Perry County,IN,167056,19183
1796,McIntosh County,OK,171518,19451
1797,Saluda County,SC,177909,18938
1798,Perry County,MO,201640,18858
1799,Green Lake County,WI,240393,19220
1800,Concordia Parish,LA,106799,18116
1801,Waseca County,MN,239653,18893
1802,Beadle County,SD,191318,19376
1803,Humphreys County,TN,222360,19106
1804,Tishomingo County,MS,156610,18619
1805,Warren County,NC,245821,18713
1806,Paulding County,OH,144626,18757
1807,Adair County,KY,130082,19067
1808,Crawford County,IL,109004,18536
1809,Houston County,MN,272575,18800
1810,Inyo County,CA,495158,18718
1811,Clay County,MS,128502,18380
1812,Pike County,GA,337618,19990
1813,Gem County,ID,444098,20418
1814,Harrison County,KY,175800,19103
1815,Deaf Smith County,TX,152588,18377
1816,Otero County,CO,150999,18303
1817,Poweshiek County,IA,215293,18467
1818,Dickinson County,KS,148530,18430
1819,Appling County,GA,144301,18428
1820,Cedar County,IA,230179,18399
1821,Covington County,MS,146190,18098
1822,Lamar County,GA,255227,19467
1823,Greene County,GA,586832,20139
1824,Randolph County,AR,130839,18837
1825,Frio County,TX,137829,17815
1826,Jefferson County,KS,246369,18344
1827,Fentress County,TN,212822,19332
1828,Yancey County,NC,293230,18811
1829,Stone County,MS,174943,18669
1830,Westmoreland County,VA,287136,18712
1831,Bosque County,TX,218350,18697
1832,Wright County,MO,170885,19156
1833,Montour County,PA,261126,18091
1834,Berrien County,GA,156527,18214
1835,Andrews County,TX,209737,18334
1836,Bertie County,NC,55823,17240
1837,Brantley County,GA,120848,18183
1838,Banks County,GA,310139,19328
1839,Pike County,MO,171243,17664
1840,Madison County,FL,198971,18198
1841,Southampton County,VA,225081,17932
1842,Attala County,MS,115946,17509
1843,Andrew County,MO,243608,18003
1844,Benzie County,MI,352051,18297
1845,Schuyler County,NY,218981,17650
1846,Northampton County,NC,121854,16779
1847,Grant County,AR,195481,18160
1848,Johnson County,TN,206918,18086
1849,Haywood County,TN,153940,17550
1850,Russell County,KY,131830,18178
1851,Young County,TX,155896,17962
1852,Unicoi County,TN,215679,17674
1853,Winston County,MS,129530,17543
1854,Hughes County,SD,269796,17692
1855,Sawyer County,WI,330398,18559
1856,Kalkaska County,MI,193975,18182
1857,Eastland County,TX,128887,17944
1858,Gilchrist County,FL,291470,18992
1859,Hancock County,IL,108849,17244
1860,Avery County,NC,357488,17571
1861,Burleson County,TX,245472,18657
1862,Patrick County,VA,168036,17643
1863,San Juan County,WA,926401,18662
1864,Seward County,NE,274516,17692
1865,Dickinson County,IA,365081,18028
1866,King William County,VA,307463,18492
1867,Drew County,AR,148411,16911
1868,Delaware County,IA,221763,17568
1869,Polk County,TN,217061,17863
1870,Pitkin County,CO,4645783,16876
1871,Cooper County,MO,216860,16772
1872,Lee County,TX,338073,17954
1873,Park County,CO,539069,17939
1874,Richland County,WI,226937,17090
1875,Chester County,TN,154466,17609
1876,Arkansas County,AR,110272,16512
1877,Union County,IL,131467,16767
1878,Holmes County,MS,62996,16121
1879,Sharp County,AR,136310,17810
1880,Ben Hill County,GA,105416,17069
1881,Mariposa County,CA,392172,17020
1882,Humboldt County,NV,298286,17272
1883,Cook County,GA,149429,17404
1884,Clayton County,IA,190327,17027
1885,Henry County,AL,170948,17655
1886,Franklin County,AR,154216,17271
1887,Morgan County,WV,263357,17430
1888,Mason County,KY,140341,16930
1889,Chickasaw County,MS,116178,16812
1890,Tama County,IA,155962,16903
1891,Falls County,TX,117688,17049
1892,Park County,MT,566793,17790
1893,McCreary County,KY,79620,16701
1894,Garrard County,KY,215825,17589
1895,Edgar County,IL,79723,16433
1896,Hardin County,IA,131985,16567
1897,Scurry County,TX,114442,16686
1898,Lewis County,WV,138403,16767
1899,Phillips County,AR,45483,15304
1900,Dallas County,MO,215191,17626
1901,Cross County,AR,130334,16601
1902,Warren County,IL,100745,16354
1903,Jackson County,AR,78363,16624
1904,Gunnison County,CO,775343,17267
1905,La Paz County,AZ,287134,16506
1906,Robertson County,TX,221863,17153
1907,Buckingham County,VA,203303,16982
1908,Bond County,IL,141690,16566
1909,Giles County,VA,175816,16453
1910,Piscataquis County,ME,213606,17417
1911,Marion County,AR,201599,17254
1912,Rabun County,GA,402371,17206
1913,Lee County,SC,135595,16153
1914,Taylor County,WV,182584,16342
1915,Rush County,IN,184914,16673
1916,Dixie County,FL,198599,17124
1917,Piatt County,IL,186030,16723
1918,Lafayette County,WI,199722,16877
1919,New Madrid County,MO,88488,15695
1920,Socorro County,NM,173043,16115
1921,Iowa County,IA,213287,16475
1922,Washburn County,WI,299730,16911
1923,Crawford County,IA,153152,16123
1924,Richland County,ND,192732,16580
1925,Baker County,OR,275575,16938
1926,Madison County,AR,230044,17486
1927,Idaho County,ID,334030,17593
1928,Potter County,PA,141373,16220
1929,Union County,SD,317774,17063
1930,Fountain County,IN,162494,16574
1931,Madison County,IA,304349,17036
1932,Clay County,IA,180893,16475
1933,Jasper County,MS,125157,16167
1934,Long County,GA,254866,18348
1935,Atchison County,KS,149430,16108
1936,Alamosa County,CO,290554,16592
1937,Fayette County,AL,121087,16118
1938,Burnett County,WI,277446,17036
1939,Wayne County,TN,168743,16308
1940,Parke County,IN,183905,16369
1941,Dade County,GA,233435,16081
1942,Hill County,MT,252499,16068
1943,Lawrence County,AR,110491,16205
1944,Lawrence County,KY,145158,16109
1945,Brooks County,GA,156776,16253
1946,Wayne County,IL,102238,15872
1947,Crawford County,WI,186896,16007
1948,Rockcastle County,KY,122457,16242
1949,Union County,FL,249294,15460
1950,Bates County,MO,185741,16177
1951,Sevier County,AR,145616,15686
1952,Brunswick County,VA,132979,15921
1953,Appomattox County,VA,259600,16748
1954,Bayfield County,WI,265430,16608
1955,Kanabec County,MN,263372,16463
1956,Ashland County,WI,169518,16039
1957,Pemiscot County,MO,93300,14841
1958,Neosho County,KS,97698,15606
1959,Otoe County,NE,210028,16198
1960,Leon County,TX,232505,16209
1961,Richland County,IL,114552,15435
1962,Benton County,TN,166293,16002
1963,Casey County,KY,116349,15920
1964,Van Buren County,AR,153503,16102
1965,Jefferson County,IA,172065,15698
1966,Trinity County,CA,293211,15781
1967,Osage County,KS,176208,15654
1968,Mercer County,IL,153701,15504
1969,Aitkin County,MN,245462,16126
1970,Sequatchie County,TN,237101,16909
1971,Moniteau County,MO,205055,15220
1972,Jefferson County,GA,99926,15314
1973,Henry County,KY,212208,15771
1974,Pawnee County,OK,143893,15757
1975,Clarke County,MS,112468,15271
1976,Floyd County,IA,147539,15337
1977,Nottoway County,VA,168179,15559
1978,Grand County,CO,876329,15769
1979,Barbour County,WV,124185,15414
1980,Clark County,IL,119407,15229
1981,Carroll County,IL,136108,15529
1982,Washington County,AL,141746,15122
1983,Floyd County,VA,234322,15619
1984,Marquette County,WI,236357,15779
1985,Vermillion County,IN,115371,15451
1986,Lawrence County,IL,67561,14914
1987,Brown County,IN,339458,15570
1988,Redwood County,MN,157338,15361
1989,Gooding County,ID,322817,15715
1990,Grayson County,VA,179118,15343
1991,Marshall County,OK,186104,15882
1992,West Feliciana Parish,LA,325653,15381
1993,Roseau County,MN,214263,15292
1994,Tipton County,IN,207354,15361
1995,Kingfisher County,OK,205364,15293
1996,Alleghany County,VA,153405,14835
1997,Page County,IA,133645,15143
1998,Macon County,MO,166016,15049
1999,Jackson Parish,LA,113082,14839
2000,Gulf County,FL,405689,15314
2001,Pecos County,TX,158092,14735
2002,Torrance County,NM,211220,15454
2003,Hamilton County,IA,151903,14820
2004,Cleburne County,AL,210939,15346
2005,Missaukee County,MI,196657,15213
2006,Arenac County,MI,144516,15089
2007,Livingston County,MO,157849,14402
2008,Fleming County,KY,157795,15288
2009,Jackson County,TX,191378,15142
2010,Mitchell County,NC,233479,15094
2011,Sibley County,MN,253724,14955
2012,Pike County,IL,92645,14484
2013,Bledsoe County,TN,213370,14798
2014,Gogebic County,MI,109166,14319
2015,Kossuth County,IA,148822,14475
2016,Karnes County,TX,139826,14836
2017,Hale County,AL,155532,14595
2018,Clay County,SD,234608,15280
2019,Gasconade County,MO,194100,14768
2020,Nelson County,VA,348459,14652
2021,Oglethorpe County,GA,286790,15469
2022,LaSalle Parish,LA,139783,14729
2023,Renville County,MN,176664,14525
2024,Larue County,KY,190051,15163
2025,Jeff Davis County,GA,126001,14889
2026,Nolan County,TX,108838,14473
2027,Clarke County,VA,496052,15266
2028,Carbon County,WY,217977,14542
2029,Clay County,AR,95777,14265
2030,Mills County,IA,260672,14553
2031,Moultrie County,IL,129518,14323
2032,Wetzel County,WV,115924,14025
2033,Pendleton County,KY,191904,14676
2034,Harrison County,OH,138562,14378
2035,San Juan County,UT,325174,14359
2036,Harrison County,IA,193566,14658
2037,Dent County,MO,174955,14467
2038,Reeves County,TX,144472,12905
2039,Las Animas County,CO,249095,14327
2040,Fulton County,PA,211534,14533
2041,Knott County,KY,102224,13874
2042,Smith County,MS,150604,14092
2043,Jasper County,GA,286096,15951
2044,Claiborne Parish,LA,69884,13744
2045,Butler County,IA,175420,14269
2046,Bourbon County,KS,111076,14493
2047,Jefferson County,FL,286330,15042
2048,Saline County,NE,192654,14116
2049,Cannon County,TN,288597,14788
2050,Choctaw County,OK,116492,14358
2051,Massac County,IL,95340,13896
2052,Hardy County,WV,208771,14192
2053,Dickenson County,VA,88635,13725
2054,Calhoun County,SC,208108,14179
2055,Cedar County,MO,190719,14601
2056,Clay County,AL,146498,14198
2057,Rusk County,WI,183365,14186
2058,Craig County,OK,153167,14123
2059,Swain County,NC,310377,13967
2060,Noble County,OH,182690,14335
2061,York County,NE,202517,14354
2062,Estill County,KY,86565,14044
2063,Roane County,WV,119390,13834
2064,Atoka County,OK,184757,14262
2065,Allamakee County,IA,216355,13960
2066,Trigg County,KY,85723,14332
2067,Pennington County,MN,194227,13845
2068,Franklin County,ID,403750,15189
2069,Screven County,GA,157322,13977
2070,Crockett County,TN,162652,13888
2071,Wadena County,MN,200368,14307
2072,Price County,WI,181547,14179
2073,Walthall County,MS,141101,13761
2074,Hamilton County,FL,184729,13217
2075,White County,IL,86047,13614
2076,Morgan County,OH,137254,13668
2077,Ketchikan Gateway Borough,AK,409733,13741
2078,Zapata County,TX,116340,13849
2079,Faribault County,MN,137038,13926
2080,Lamar County,AL,115474,13705
2081,Winn Parish,LA,106053,13205
2082,Murray County,OK,143939,13672
2083,Newton County,IN,202291,13823
2084,Calhoun County,FL,168316,13464
2085,Washington County,IL,147335,13643
2086,Glacier County,MT,171425,13681
2087,Chowan County,NC,222053,13940
2088,Nantucket County,MA,2844796,14421
2089,Union County,KY,124345,12961
2090,Callahan County,TX,159825,14210
2091,Morgan County,KY,101541,14120
2092,McKenzie County,ND,301539,13908
2093,Madison County,VA,360390,14000
2094,Converse County,WY,290606,13786
2095,Trinity County,TX,171836,13996
2096,Greene County,MS,142385,13552
2097,Izard County,AR,147250,14048
2098,Breathitt County,KY,69392,13351
2099,Ford County,IL,125461,13249
2100,Madison County,TX,265056,13661
2101,Stewart County,TN,225271,14035
2102,Comanche County,TX,184031,13878
2103,Bamberg County,SC,83364,12908
2104,Monroe County,OH,150360,13234
2105,Grundy County,TN,179161,13783
2106,Calhoun County,MS,103640,12781
2107,Hughes County,OK,91574,13407
2108,Osage County,MO,246390,13399
2109,Fremont County,ID,413540,13978
2110,Buffalo County,WI,213753,13391
2111,Clay County,IL,90235,13047
2112,Pend Oreille County,WA,368665,14179
2113,Crenshaw County,AL,121199,13025
2114,Mono County,CA,872676,12978
2115,Jackson County,KS,218856,13286
2116,Archuleta County,CO,573217,14003
2117,Lewis County,KY,85689,12954
2118,Moffat County,CO,285832,13177
2119,Johnson County,IL,164557,13381
2120,Mason County,IL,86706,12748
2121,Amelia County,VA,283808,13455
2122,Kodiak Island Borough,AK,392899,12720
2123,Big Horn County,MT,228386,12851
2124,Cass County,IA,135828,13104
2125,Lamb County,TX,83917,12724
2126,Bienville Parish,LA,87948,12641
2127,Shoshone County,ID,271852,14012
2128,Crawford County,MI,164511,13491
2129,Lincoln County,AR,109579,12916
2130,Cass County,IL,87101,12657
2131,Powell County,KY,124942,13083
2132,Jackson County,KY,106344,12973
2133,Perquimans County,NC,252872,13210
2134,Webster County,KY,107961,12726
2135,Wright County,IA,123059,12681
2136,Mississippi County,MO,94064,11688
2137,Presque Isle County,MI,187717,13361
2138,Tallahatchie County,MS,93261,12035
2139,Howard County,AR,135131,12557
2140,Wilbarger County,TX,90325,12491
2141,Millard County,UT,313444,13330
2142,Telfair County,GA,107900,12354
2143,Vinton County,OH,142745,12565
2144,Choctaw County,AL,104083,12439
2145,Amite County,MS,149197,12619
2146,Braxton County,WV,124670,12185
2147,Bath County,KY,147235,12829
2148,Goshen County,WY,231768,12562
2149,Caldwell County,KY,116333,12570
2150,Meigs County,TN,257679,13272
2151,Madison County,MO,153749,12753
2152,Yalobusha County,MS,124385,12364
2153,Bleckley County,GA,159408,12257
2154,Allen County,KS,93752,12579
2155,Newton County,TX,151362,12052
2156,Chippewa County,MN,196897,12284
2157,Camp County,TX,200459,12716
2158,Pulaski County,IN,167661,12485
2159,Monroe County,WV,146473,12296
2160,Lewis County,TN,220099,12957
2161,Sumter County,AL,116137,11853
2162,Charlton County,GA,175134,12781
2163,Butler County,KY,168399,12295
2164,Colfax County,NM,237928,12246
2165,Dawson County,TX,86891,12130
2166,Stone County,AR,173106,12575
2167,Menard County,IL,175819,12121
2168,Grundy County,IA,196250,12356
2169,Macon County,GA,91879,11765
2170,Appanoose County,IA,96831,12094
2171,Towns County,GA,368151,12972
2172,Sanders County,MT,428950,13442
2173,Pamlico County,NC,264801,12381
2174,Lake County,MI,137037,12594
2175,Franklin County,FL,461710,12498
2176,Northampton County,VA,255958,11900
2177,Pike County,IN,159013,12168
2178,Todd County,KY,171258,12404
2179,Union County,IA,130597,11887
2180,Greene County,IL,87343,11651
2181,Glades County,FL,254223,12454
2182,Edmonson County,KY,156765,12269
2183,Morgan County,UT,653492,12832
2184,Crawford County,GA,177348,12140
2185,Blackford County,IN,119026,11919
2186,Koochiching County,MN,143395,11844
2187,Summers County,WV,125189,11762
2188,Little River County,AR,135753,11821
2189,Fulton County,AR,162057,12382
2190,Jefferson County,MT,503639,12826
2191,Lawrence County,MS,117813,11713
2192,Chickasaw County,IA,186395,11716
2193,Rains County,TX,284762,12823
2194,Morris County,TX,142447,12083
2195,Lunenburg County,VA,117274,12031
2196,Skamania County,WA,523958,12460
2197,Custer County,MT,263741,12032
2198,Boundary County,ID,449121,13345
2199,Prowers County,CO,159667,11854
2200,Northumberland County,VA,349519,12302
2201,Morrow County,OR,286596,12300
2202,Linn County,MO,122755,11820
2203,Washington County,KY,196310,12061
2204,Lyon County,IA,217053,12179
2205,Terry County,TX,94612,11567
2206,Marion County,KS,125456,11868
2207,Magoffin County,KY,111060,11357
2208,Owyhee County,ID,393803,12613
2209,Douglas County,MO,208557,11975
2210,Marshall County,IL,112403,11678
2211,Conecuh County,AL,113646,11206
2212,Shelby County,IA,183928,11645
2213,Barton County,MO,171503,11694
2214,Haskell County,OK,143009,11641
2215,Red River County,TX,129225,11542
2216,Big Horn County,WY,265893,11855
2217,Juab County,UT,414577,12567
2218,DeKalb County,MO,208136,11336
2219,Ramsey County,ND,201132,11515
2220,Jackson County,TN,212278,11989
2221,Perry County,MS,130366,11368
2222,Cherokee County,IA,148389,11491
2223,Charlotte County,VA,150722,11475
2224,Iron County,MI,104917,11622
2225,Dooly County,GA,120381,10572
2226,Desha County,AR,80477,10771
2227,Sierra County,NM,152865,11436
2228,Teton County,ID,800473,12544
2229,Cottonwood County,MN,152308,11356
2230,Rio Grande County,CO,283797,11325
2231,Valley County,ID,664012,12464
2232,Greensville County,VA,144700,11226
2233,Fergus County,MT,257174,11663
2234,Trousdale County,TN,317423,12111
2235,Decatur County,TN,149292,11564
2236,Okfuskee County,OK,114516,11134
2237,Heard County,GA,232269,11725
2238,Wabash County,IL,104690,11087
2239,Martin County,KY,96307,11095
2240,Montgomery County,MO,180948,11470
2241,Live Oak County,TX,171151,11428
2242,Ward County,TX,167761,10964
2243,Richland County,MT,303003,11237
2244,Jefferson Davis County,MS,90833,11088
2245,Lake County,SD,275866,10972
2246,Blanco County,TX,576742,12418
2247,Wayne County,MO,114207,10792
2248,McIntosh County,GA,221395,11180
2249,Monroe County,KY,112649,11355
2250,Watonwan County,MN,163415,11075
2251,Pope County,MN,292773,11431
2252,Washington County,NC,108767,10828
2253,Bacon County,GA,138175,11191
2254,Owen County,KY,135985,11290
2255,Green County,KY,141548,11365
2256,Grant County,WV,161399,10968
2257,Ripley County,MO,142179,10703
2258,Noble County,OK,126094,10896
2259,Washita County,OK,86918,10732
2260,Clay County,NC,324080,11614
2261,Sussex County,VA,166239,10680
2262,Lancaster County,VA,362674,10750
2263,Alleghany County,NC,258823,11185
2264,Pushmataha County,OK,126763,10769
2265,Louisa County,IA,152842,10677
2266,Candler County,GA,126812,11000
2267,Roosevelt County,MT,285372,10572
2268,Barnes County,ND,158782,10758
2269,North Slope Borough,AK,226721,10805
2270,Hancock County,IA,166244,10685
2271,Lake County,MN,248691,10939
2272,Box Butte County,NE,153967,10672
2273,Mackinac County,MI,190385,10941
2274,Early County,GA,114772,10574
2275,Carroll County,KY,167317,10938
2276,Lincoln County,WA,301884,11601
2277,Evans County,GA,141291,10695
2278,Bollinger County,MO,172575,10518
2279,Winnebago County,IA,142357,10617
2280,Red Willow County,NE,164458,10573
2281,Wilcox County,AL,133967,10059
2282,Middlesex County,VA,366345,10943
2283,Walsh County,ND,120704,10438
2284,Custer County,NE,162428,10476
2285,Leslie County,KY,71056,10093
2286,Essex County,VA,265440,10630
2287,Colfax County,NE,188587,10444
2288,Guthrie County,IA,236297,10647
2289,Bradley County,AR,91149,10135
2290,Gates County,NC,196766,10383
2291,Cumberland County,IL,133169,10324
2292,Mitchell County,IA,183534,10532
2293,Crawford County,IN,151306,10536
2294,Carbon County,MT,468358,11179
2295,Johnston County,OK,140071,10406
2296,Coosa County,AL,176428,10166
2297,Washington County,ID,328079,11087
2298,Franklin County,TX,288660,10618
2299,Noxubee County,MS,93725,9990
2300,Chicot County,AR,80504,9873
2301,Bullock County,AL,108558,10202
2302,Camden County,NC,352700,11088
2303,Lowndes County,AL,127469,9777
2304,Montgomery County,IA,126570,10205
2305,Ralls County,MO,219046,10420
2306,Madison Parish,LA,68617,9478
2307,Metcalfe County,KY,142913,10370
2308,Roberts County,SD,209108,10163
2309,Clay County,TX,175788,10486
2310,Pike County,AR,162061,10179
2311,Nemaha County,KS,191376,10115
2312,Holt County,NE,155741,10043
2313,Butte County,SD,283938,10774
2314,Howard County,MO,194421,10168
2315,Alcona County,MI,161293,10417
2316,Love County,OK,185066,10218
2317,Ochiltree County,TX,116512,9606
2318,Perry County,AR,143012,10063
2319,Franklin County,IA,139323,9916
2320,Carroll County,MS,163944,9731
2321,Keokuk County,IA,128788,9904
2322,Lewis County,MO,154283,9891
2323,Jackson County,MN,193269,9893
2324,Pulaski County,GA,152142,9984
2325,Duval County,TX,71654,9888
2326,Marshall County,KS,126251,9982
2327,Sabine County,TX,172870,10048
2328,Calhoun County,IA,130742,9725
2329,West Carroll Parish,LA,120980,9475
2330,Tunica County,MS,107804,9458
2331,Montgomery County,MS,99789,9530
2332,Yuma County,CO,251976,9899
2333,Webster County,MS,151870,9993
2334,Scott County,AR,131986,9805
2335,Grundy County,MO,77692,9838
2336,Zavala County,TX,82814,9377
2337,Runnels County,TX,103112,9859
2338,Martin County,IN,179504,9803
2339,Lanier County,GA,185081,10171
2340,Parmer County,TX,131414,9620
2341,Switzerland County,IN,213828,10006
2342,Emery County,UT,245281,10099
2343,Sac County,IA,153084,9673
2344,Swift County,MN,160039,9755
2345,McLean County,ND,183422,9824
2346,Marion County,TX,136714,9560
2347,Clarke County,IA,167832,9692
2348,Rock County,MN,240673,9537
2349,Mountrail County,ND,198363,9290
2350,Caldwell Parish,LA,112064,9554
2351,Stevens County,MN,178347,9637
2352,Cumberland County,VA,250269,9746
2353,Linn County,KS,143800,9796
2354,Wilkes County,GA,133460,9599
2355,Grand County,UT,591432,9769
2356,Humboldt County,IA,158803,9572
2357,Yellow Medicine County,MN,150491,9486
2358,Irwin County,GA,118663,9126
2359,Iron County,MO,135656,9414
2360,Wayne County,NE,214292,9871
2361,McCormick County,SC,337784,9764
2362,Cheyenne County,NE,148736,9511
2363,Latimer County,OK,127592,9630
2364,Greenlee County,AZ,148060,9302
